,text,screenName,retweetCount,isRetweet
1,#Dinner #Easy-Recipe #Food #Gluten-Free #Recipe #Simply-Delicious #food https://t.co/kHL8OB3Bsb #Chicken korma curry - Simply Delicious,redsomcom,0,FALSE
2,RT @alroker: For #dinner #tonight I made #grilled #salmon with #chimichurri roasted #cauliflower with #smoked #paprika and #sauteed #zucchi…,JoyfulMamaof3,38,TRUE
3,Great night out with the girls! #citylife #newyork #bronxgirls #jerseysgirls #MrChow #dinner… https://t.co/c9N0rXzvxg,MaureenShea,0,FALSE
4,Love Gatti's Pizza? Get $50 Free Lyft ride credit to get there free. Use Lyft Coupon Code: DEX #dinner #food #restaurant #date,SpunkyHotDeals,0,FALSE
5,Last #bookclub #dinner of #2017. #moma #finedining #nyc #christmas #christmasinthecity #lobster… https://t.co/2doTJunvA3,litwitwinedine,0,FALSE
6,"RT @stinger_mario: #PalaceResort, #romantic #dinner on the #beach for VIP members
https://t.co/B0fwkskSxn

#travel #vacation https://t.co/A…",futafekarymu,40,TRUE
7,My two Su chefs Sophie and Prada #cat #catsofinstagram #dogsofinstagram #dinner #dinnerparty… https://t.co/dTAMtdX4Ke,BrennerHillary,0,FALSE
8,#BrooklynStrong #SixPoint @sixpoint is Team #ChefTristenEpps @saltedbyepps #BrooklynChef #Chopped #FoodNetwork… https://t.co/ctWMaBACfv,AmyYLee1,0,FALSE
9,Out of the Kitchen: #carriebeene #dinner #philippinofood #eastvillage #les  #nycphotographer… https://t.co/cxrb2MTcCo,williamking,0,FALSE
10,All in the Kitchen: #carriebeene #dinner #philippinofood #eastvollage #les #nycphotographer… https://t.co/gHr7AMIcbL,williamking,0,FALSE
11,Patron shot + dinner = drunk cuteness #cruiselife #dinner https://t.co/TpwMSbSDC6,I_AmAnAuthor,0,FALSE
12,"Lemon braised #chickenthighs over angel hair pasta for #dinner. 

#delicious #damn #chicken https://t.co/JGhw2JSrqS",thetom,0,FALSE
13,#hellosunnyside meet #skillmanave come out and join us for #drinks #dinner… https://t.co/LZzAAUhGIO,thedogandduck46,0,FALSE
14,#Birthday #Dinner #Celebration cont. #KaleSalad #YumYum #LiveHealthy #EatClean #KaleYeah @ 40/40… https://t.co/iS4hBcmlQ0,KnowStyle,0,FALSE
15,"Keto Buffalo Chicken Meatball Salad. 
#dinner #keto… https://t.co/Kf3pIWSyS6",IzzyKPeterson,0,FALSE
16,"if I eat a large, thin-crust, cheese pizza I feel a lot less bad about myself. #dinner",StevenSpice,0,FALSE
17,Instant Pot Meat &amp; Potatoes Beef Stew Recipe! #Instantpot #Dinner https://t.co/p5hJ6Wi4mt https://t.co/5Hhy3hmj5p,WorkmanPub,0,FALSE
